disease,term,note
Diabetic Cardiac Fibrosis,DOID:0050700,chosen_name=cardiomyopathy | Mapped to cardiomyopathy; exact diabetic cardiac fibrosis term absent. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Diabetic Cardiomyopathies,DOID:0050700,chosen_name=cardiomyopathy | Mapped to broad active cardiomyopathy term. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Diabetic Foot,DOID:11713,chosen_name=diabetic angiopathy | Mapped to diabetic angiopathy as closest diabetic vascular complication term in DO. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Diabetic Lung,DOID:850,chosen_name=lung disease | Exact diabetic lung term absent; mapped to broad lung disease. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Diabetic Lung Disease,DOID:850,chosen_name=lung disease | Exact diabetic lung disease term absent; mapped to broad lung disease. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Diabetic Macroangiopathy,DOID:11713,chosen_name=diabetic angiopathy | Closest active match in DO is diabetic angiopathy. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Diabetic Nephropathies,DOID:557,chosen_name=kidney disease | Replaced obsolete diabetic nephropathy with active kidney disease; current DO includes nephropathy as an exact synonym of kidney disease. | DO term status: active. | remap_from_obsolete=yes.
"Dissection, Thoracic Aorta",DOID:0080685,chosen_name=aortic dissection | Closest active disease term: aortic dissection. | DO term status: active. | mapping_type=exact_active; confidence=high.
Duck Hepatitis A Virus Type 1 (Dhav-1),DOID:934,chosen_name=viral infectious disease | Virus name rather than disease label; mapped to viral infectious disease as fallback. | DO term status: active. | mapping_type=fallback_general; confidence=low.
Epithelial-Mesenchymal Transition,DOID:14566,"chosen_name=disease of cellular proliferation | EMT is a biological process, not a disease term; mapped to disease of cellular proliferation as context-aware fallback. | DO term status: active. | mapping_type=fallback_general; confidence=low."
Escherichia coli Infections,DOID:0050338,chosen_name=primary bacterial infectious disease | Replaced obsolete primary Escherichia coli infectious disease with active bacterial etiology fallback in current DO. | DO term status: active. | remap_from_obsolete=yes.
Femur Head Necrosis,DOID:10159,"chosen_name=osteonecrosis | Mapped to osteonecrosis, the closest active disease term for femoral head necrosis. | DO term status: active. | mapping_type=approx_active_parent; confidence=high."
Fracture Healing,DOID:0080001,"chosen_name=bone disease | Healing is a process, not a disease term; mapped to broad bone disease. | DO term status: active. | mapping_type=fallback_general; confidence=low."
"Fractures, Bone",DOID:0080001,chosen_name=bone disease | No clean fracture disease term found; mapped to broad bone disease. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Fusarium graminearum,DOID:1564,chosen_name=fungal infectious disease | Organism name rather than disease label; mapped to fungal infectious disease as fallback. | DO term status: active. | mapping_type=fallback_general; confidence=low.
Glioma,DOID:0060108,chosen_name=brain glioma | Mapped to active brain glioma term. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
HIV,DOID:526,chosen_name=human immunodeficiency virus infectious disease | Exact active DO match via HIV infection synonym. | DO term status: active. | mapping_type=exact_active; confidence=high.
"Hearing Loss, Noise-Induced",DOID:10003,chosen_name=sensorineural hearing loss | Mapped to sensorineural hearing loss as closest active hearing-loss disease term. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Heart Injuries,DOID:114,chosen_name=heart disease | Injury label mapped to broad heart disease. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Hepatic Ischemia/Reperfusion Injury,DOID:409,chosen_name=liver disease | Mapped to broad liver disease because exact reperfusion-injury disease term is absent. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Hepatocellular Carcinoma Related Chronic Virus C Infection,DOID:684,chosen_name=hepatocellular carcinoma | Mapped to hepatocellular carcinoma as primary disease phrase. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Keloid,DOID:37,chosen_name=skin disease | No dedicated keloid term found in this DO release; mapped to skin disease. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Liver Cancer Bone Metastasis,DOID:3571,chosen_name=liver cancer | Bone-metastasis-specific liver-cancer term absent; mapped to liver cancer. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
"Liver Failure, Acute",DOID:409,chosen_name=liver disease | Exact acute liver failure term not found; mapped to broad liver disease. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Liver Inflammation Caused By Chb In Patients With Chronic Hbv Infection Complicated With Nafld,DOID:2043,chosen_name=hepatitis B | Mapped to hepatitis B as the main disease concept; NAFLD remains a comorbidity/context note. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Lung Injury,DOID:850,chosen_name=lung disease | Generic injury label mapped to broad lung disease. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Lymphatic Metastasis,DOID:10619,chosen_name=lymph node cancer | Replaced obsolete metastasis to lymph node with active malignant lymph-node fallback; current DO lacks a clean active secondary lymph-node metastasis class. | DO term status: active. | remap_from_obsolete=yes.
Malignant Tumour Lympha Node Metastasis,DOID:10619,chosen_name=lymph node cancer | Replaced obsolete metastasis to lymph node with active malignant lymph-node fallback; current DO lacks a clean active secondary lymph-node metastasis class. | DO term status: active. | remap_from_obsolete=yes.
Mesothelioma,DOID:1790,"chosen_name=malignant mesothelioma | Mapped to malignant mesothelioma, the most common generic mesothelioma disease term. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium."
Molecular Epidemiology,DOID:4,chosen_name=disease | Research field rather than disease term; mapped to root disease only as fallback. | DO term status: active. | mapping_type=fallback_general; confidence=low.
Mycobacterium tuberculosis,DOID:399,chosen_name=tuberculosis | Organism name mapped to disease tuberculosis. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Mycoplasma Pneumoniae-Induced Inflammatory,DOID:13276,chosen_name=Mycoplasma pneumoniae pneumonia | Closest active disease term is Mycoplasma pneumoniae pneumonia. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Myocardial Reperfusion,DOID:9767,chosen_name=myocardial stunning | Mapped to myocardial stunning as closest reperfusion-related myocardial disease term. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Myocardial Reperfusion Injury,DOID:9767,chosen_name=myocardial stunning | Mapped to myocardial stunning as closest reperfusion-related myocardial disease term. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Neonatal Sepsis,DOID:0040085,chosen_name=bacterial sepsis | Mapped to bacterial sepsis because no neonatal sepsis term was found. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Neoplasm Metastasis,DOID:162,chosen_name=cancer | Generic metastatic-neoplasm label mapped to broad cancer term. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Neuronal Injury,DOID:331,chosen_name=central nervous system disease | Injury/process label mapped to central nervous system disease as broad fallback. | DO term status: active. | mapping_type=fallback_general; confidence=low.
"Osteoarthritis, Knee",DOID:8398,chosen_name=osteoarthritis | Mapped to osteoarthritis; knee-specific subtype not found. | DO term status: active. | mapping_type=approx_active_parent; confidence=high.
"Osteoporosis, Postmenopausal",DOID:11476,chosen_name=osteoporosis | Mapped to osteoporosis; postmenopausal subtype not found in this DO release. | DO term status: active. | mapping_type=approx_active_parent; confidence=high.
Peste-des-Petits-Ruminants,DOID:934,chosen_name=viral infectious disease | Replaced obsolete non-human PPR disease with active viral infectious disease because the specific animal disease is out of scope for current human DO. | DO term status: active. | remap_from_obsolete=yes.
"Plaque, Atherosclerotic",DOID:1936,chosen_name=atherosclerosis | Mapped to atherosclerosis as the active disease term underlying atherosclerotic plaque. | DO term status: active. | mapping_type=approx_active_parent; confidence=high.
"Pneumonia, Necrotizing",DOID:552,chosen_name=pneumonia | Mapped to pneumonia; necrotizing subtype not found. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Postoperative Nausea and Vomiting,DOID:225,chosen_name=syndrome | Clinical syndrome label mapped to broad syndrome term. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Prostatic Hyperplasia,DOID:11132,"chosen_name=prostatic hypertrophy | Mapped to active prostatic hypertrophy term, the closest DO equivalent. | DO term status: active. | mapping_type=approx_active_parent; confidence=high."
"RNA, Long Noncoding",DOID:4,chosen_name=disease | Molecule class rather than disease term; mapped to root disease only as fallback. | DO term status: active. | mapping_type=fallback_general; confidence=low.
Recurrent Pregnancy,DOID:229,chosen_name=female reproductive system disease | Replaced obsolete habitual abortion with active reproductive-system fallback because current DO lacks an active recurrent pregnancy loss class. | DO term status: active. | remap_from_obsolete=yes.
Reperfusion Injury,DOID:326,chosen_name=ischemia | Generic reperfusion injury mapped to ischemia as closest broad active disease term. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Retroperitoneal liposarcoma,DOID:3382,chosen_name=liposarcoma | Mapped to liposarcoma; retroperitoneal site retained in note only. | DO term status: active. | mapping_type=approx_active_parent; confidence=high.
Sars-Cov-2 Vaccination Breakthrough Infections,DOID:0080600,chosen_name=COVID-19 | Breakthrough infections are still COVID-19; mapped to active COVID-19 term. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Sclerosis,DOID:4,chosen_name=disease | Underspecified pathological label; mapped to root disease only as fallback. | DO term status: active. | mapping_type=fallback_general; confidence=low.
Sepsis,DOID:0040085,chosen_name=bacterial sepsis | Closest active DO term available is bacterial sepsis. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Sepsis-Associated Renal Injury,DOID:3021,chosen_name=acute kidney failure | Mapped to acute kidney failure as closest renal-injury disease term. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
Sepsis-Induced Cardiomyocyte Pyroptosis,DOID:0040085,chosen_name=bacterial sepsis | Pyroptosis is a process; mapped to sepsis as the underlying disease context. | DO term status: active. | mapping_type=fallback_general; confidence=low.
Sepsis-Induced Myocardial Depression,DOID:0050700,chosen_name=cardiomyopathy | Mapped to cardiomyopathy as closest disease-like cardiac dysfunction term. | DO term status: active. | mapping_type=approx_active_parent; confidence=low.
"Shock, Cardiogenic",DOID:225,chosen_name=syndrome | Shock is a syndrome/clinical state; mapped to broad syndrome term. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Solid Tumors,DOID:162,chosen_name=cancer | Mapped to broad cancer term. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Spontaneous Preterm Birth,DOID:229,chosen_name=female reproductive system disease | Replaced obsolete premature labor with active reproductive-system fallback; current DO lacks a clean active spontaneous preterm birth class. | DO term status: active. | remap_from_obsolete=yes.
Subarachnoid Hemorrhage,DOID:0051063,chosen_name=hemorrhagic stroke | Mapped to hemorrhagic stroke as closest active hemorrhage disease term. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Systemic Lupus Erythematosus-Associated Diffuse Alveolar Hemorrhage,DOID:9074,chosen_name=systemic lupus erythematosus | Mapped to systemic lupus erythematosus as the primary named disease. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Thyroid Cancer Lung Metastasis,DOID:1781,chosen_name=thyroid cancer | Replaced obsolete lung metastasis with active primary cancer term because current DO lacks a clean active secondary lung metastasis class. | DO term status: active. | remap_from_obsolete=yes.
Thyroid Nodule,DOID:13197,chosen_name=nodular goiter | Replaced obsolete thyroid nodule with active nodular goiter as the closest non-obsolete thyroid nodule-like disease term. | DO term status: active. | remap_from_obsolete=yes.
"Tuberculosis, Spinal",DOID:399,chosen_name=tuberculosis | Spinal tuberculosis subtype absent; mapped to tuberculosis. | DO term status: active. | mapping_type=approx_active_parent; confidence=medium.
Type 2 Diabetes With Macrovascular Complication,DOID:9352,chosen_name=type 2 diabetes mellitus | Mapped to type 2 diabetes mellitus; macrovascular complication retained in note only. | DO term status: active. | mapping_type=approx_active_parent; confidence=high.
Unexplained Recurrent Spontaneous Abortion,DOID:229,chosen_name=female reproductive system disease | Replaced obsolete habitual abortion with active reproductive-system fallback because current DO lacks an active recurrent spontaneous abortion class. | DO term status: active. | remap_from_obsolete=yes.
Venous Thrombosis,DOID:0060903,chosen_name=thrombosis | Mapped to thrombosis as closest active broad term. | DO term status: active. | mapping_type=approx_active_parent; confidence=high.
Wounds and Injuries,DOID:4,chosen_name=disease | Non-specific non-DO disease bucket; mapped to root disease only as fallback. | DO term status: active. | mapping_type=fallback_general; confidence=low.
